OBJECTID,Codigo,Provincia,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
1.0,1.0,Araba/Álava,828.0,2017,Sociedad_Anonima,1.0,5558819816.938479,899065.384760544,Importe_hipotecas,48296.0,57233.0,53254.0,31073.0,63502.0,29401.0,32969.0,22977.0,44810.0,39951.0,37119.0,31979.0
2.0,2.0,Albacete,488.0,2017,Sociedad_Anonima,2.0,24628869196.6688,982714.9831766171,Importe_hipotecas,18417.0,20632.0,28018.0,19598.0,52585.0,23393.0,44807.0,35571.0,44849.0,16399.0,38425.0,23339.0
3.0,3.0,Alicante,1650.0,2017,Sociedad_Anonima,3.0,9507175453.60967,698396.737290055,Importe_hipotecas,165330.0,149503.0,210355.0,222585.0,153248.0,157547.0,121150.0,128666.0,206276.0,125571.0,150514.0,115540.0
4.0,4.0,Almería,617.0,2017,Sociedad_Anonima,4.0,13855293063.9255,764383.039721032,Importe_hipotecas,53648.0,60756.0,79137.0,100574.0,63395.0,55218.0,54463.0,161397.0,109346.0,64817.0,114675.0,66255.0
5.0,5.0,Ávila,130.0,2017,Sociedad_Anonima,5.0,13966290552.5479,825947.5261177691,Importe_hipotecas,5644.0,9953.0,5413.0,8598.0,6185.0,8805.0,7332.0,3406.0,8994.0,6545.0,7827.0,6345.0
6.0,6.0,Badajoz,639.0,2017,Sociedad_Anonima,6.0,35803975339.5203,1452266.34287763,Importe_hipotecas,132842.0,44680.0,34165.0,29641.0,55736.0,34778.0,27405.0,37356.0,41243.0,40108.0,24720.0,28466.0
7.0,7.0,"Balears, Illes",2351.0,2017,Sociedad_Anonima,7.0,8397658655.339479,1885856.05039272,Importe_hipotecas,264150.0,206651.0,227123.0,174105.0,300946.0,277222.0,279123.0,220866.0,289389.0,193939.0,222455.0,207790.0
8.0,8.0,Barcelona,14887.0,2017,Sociedad_Anonima,8.0,13892170189.5469,1078129.1918187,Importe_hipotecas,742864.0,787048.0,725512.0,578403.0,773931.0,716581.0,748531.0,734981.0,810622.0,609980.0,789609.0,478835.0
9.0,9.0,Burgos,662.0,2017,Sociedad_Anonima,9.0,26203492774.134,1530155.70044239,Importe_hipotecas,25210.0,26700.0,32329.0,29804.0,24443.0,20993.0,23892.0,24705.0,27385.0,27755.0,28738.0,23864.0
10.0,10.0,Cáceres,332.0,2017,Sociedad_Anonima,10.0,33620075321.1089,1242300.63638205,Importe_hipotecas,17118.0,13579.0,15486.0,7744.0,30604.0,33131.0,13920.0,30120.0,17151.0,17418.0,15368.0,26674.0
11.0,11.0,Cádiz,806.0,2017,Sociedad_Anonima,11.0,11546868058.7637,895286.367485857,Importe_hipotecas,93168.0,91703.0,143773.0,93267.0,112773.0,151914.0,86377.0,146531.0,107386.0,89290.0,103355.0,73075.0
12.0,12.0,Castellón/Castelló,751.0,2017,Sociedad_Anonima,12.0,11396498994.3888,689218.0799780571,Importe_hipotecas,35065.0,72143.0,38389.0,22885.0,31036.0,39264.0,34956.0,31725.0,43630.0,27896.0,39531.0,17295.0
13.0,13.0,Ciudad Real,430.0,2017,Sociedad_Anonima,13.0,32784774691.1465,1226477.61440341,Importe_hipotecas,21289.0,28953.0,19920.0,15221.0,21220.0,20496.0,14585.0,24421.0,21068.0,26341.0,17708.0,14924.0
