,OBJECTID,Codigo,Texto,Total_2017,Total_2016,Total_2015,Total_2014,Total_2013,Total_2012,Total_2011,Total_2010,Total_2009,Total_2008,Total_2007,Total_2006,Total_2005,Total_2004,Total_2003,Total_2002,Total_2001,Total_2000,Total_1999,Sociedad_Anonima_2017,Sociedad_Anonima_2016,Sociedad_Anonima_2015,Sociedad_Anonima_2014,Sociedad_Anonima_2013,Sociedad_Anonima_2012,Sociedad_Anonima_2011,Sociedad_Anonima_2010,Sociedad_Anonima_2009,Sociedad_Anonima_2008,Sociedad_Anonima_2007,Sociedad_Anonima_2006,Sociedad_Anonima_2005,Sociedad_Anonima_2004,Sociedad_Anonima_2003,Sociedad_Anonima_2002,Sociedad_Anonima_2001,Sociedad_Anonima_2000,Sociedad_Anonima_1999,Sociedades_responsabilidad-limitada_2017,Sociedades_responsabilidad-limitada_2016,Sociedades_responsabilidad-limitada_2015,Sociedades_responsabilidad-limitada_2014,Sociedades_responsabilidad-limitada_2013,Sociedades_responsabilidad-limitada_2012,Sociedades_responsabilidad-limitada_2011,Sociedades_responsabilidad-limitada_2010,Sociedades_responsabilidad-limitada_2009,Sociedades_responsabilidad-limitada_2008,Sociedades_responsabilidad-limitada_2007,Sociedades_responsabilidad-limitada_2006,Sociedades_responsabilidad-limitada_2005,Sociedades_responsabilidad-limitada_2004,Sociedades_responsabilidad-limitada_2003,Sociedades_responsabilidad-limitada_2002,Sociedades_responsabilidad-limitada_2001,Sociedades_responsabilidad-limitada_2000,Sociedades_responsabilidad-limitada_1999,Sociedades_colectivas_2017,Sociedades_colectivas_2016,Sociedades_colectivas_2015,Sociedades_colectivas_2014,Sociedades_colectivas_2013,Sociedades_colectivas_2012,Sociedades_colectivas_2011,Sociedades_colectivas_2010,Sociedades_colectivas_2009,Sociedades_colectivas_2008,Sociedades_colectivas_2007,Sociedades_colectivas_2006,Sociedades_colectivas_2005,Sociedades_colectivas_2004,Sociedades_colectivas_2003,Sociedades_colectivas_2002,Sociedades_colectivas_2001,Sociedades_colectivas_2000,Sociedades_colectivas_1999,Sociedades_comanditarias_2017,Sociedades_comanditarias_2016,Sociedades_comanditarias_2015,Sociedades_comanditarias_2014,Sociedades_comanditarias_2013,Sociedades_comanditarias_2012,Sociedades_comanditarias_2011,Sociedades_comanditarias_2010,Sociedades_comanditarias_2009,Sociedades_comanditarias_2008,Sociedades_comanditarias_2007,Sociedades_comanditarias_2006,Sociedades_comanditarias_2005,Sociedades_comanditarias_2004,Sociedades_comanditarias_2003,Sociedades_comanditarias_2002,Sociedades_comanditarias_2001,Sociedades_comanditarias_2000,Sociedades_comanditarias_1999,Comunidades_de_bienes_2017,Comunidades_de_bienes_2016,Comunidades_de_bienes_2015,Comunidades_de_bienes_2014,Comunidades_de_bienes_2013,Comunidades_de_bienes_2012,Comunidades_de_bienes_2011,Comunidades_de_bienes_2010,Comunidades_de_bienes_2009,Comunidades_de_bienes_2008,Comunidades_de_bienes_2007,Comunidades_de_bienes_2006,Comunidades_de_bienes_2005,Comunidades_de_bienes_2004,Comunidades_de_bienes_2003,Comunidades_de_bienes_2002,Comunidades_de_bienes_2001,Comunidades_de_bienes_2000,Comunidades_de_bienes_1999,Sociedades_Cooperativas_2017,Sociedades_Cooperativas_2016,Sociedades_Cooperativas_2015,Sociedades_Cooperativas_2014,Sociedades_Cooperativas_2013,Sociedades_Cooperativas_2012,Sociedades_Cooperativas_2011,Sociedades_Cooperativas_2010,Sociedades_Cooperativas_2009,Sociedades_Cooperativas_2008,Sociedades_Cooperativas_2007,Sociedades_Cooperativas_2006,Sociedades_Cooperativas_2005,Sociedades_Cooperativas_2004,Sociedades_Cooperativas_2003,Sociedades_Cooperativas_2002,Sociedades_Cooperativas_2001,Sociedades_Cooperativas_2000,Sociedades_Cooperativas_1999,Asociaciones_y_otros_2017,Asociaciones_y_otros_2016,Asociaciones_y_otros_2015,Asociaciones_y_otros_2014,Asociaciones_y_otros_2013,Asociaciones_y_otros_2012,Asociaciones_y_otros_2011,Asociaciones_y_otros_2010,Asociaciones_y_otros_2009,Asociaciones_y_otros_2008,Asociaciones_y_otros_2007,Asociaciones_y_otros_2006,Asociaciones_y_otros_2005,Asociaciones_y_otros_2004,Asociaciones_y_otros_2003,Asociaciones_y_otros_2002,Asociaciones_y_otros_2001,Asociaciones_y_otros_2000,Asociaciones_y_otros_1999,Organismos_autonomos_y_otros_2017,Organismos_autonomos_y_otros_2016,Organismos_autonomos_y_otros_2015,Organismos_autonomos_y_otros_2014,Organismos_autonomos_y_otros_2013,Organismos_autonomos_y_otros_2012,Organismos_autonomos_y_otros_2011,Organismos_autonomos_y_otros_2010,Organismos_autonomos_y_otros_2009,Organismos_autonomos_y_otros_2008,Organismos_autonomos_y_otros_2007,Organismos_autonomos_y_otros_2006,Organismos_autonomos_y_otros_2005,Organismos_autonomos_y_otros_2004,Organismos_autonomos_y_otros_2003,Organismos_autonomos_y_otros_2002,Organismos_autonomos_y_otros_2001,Organismos_autonomos_y_otros_2000,Organismos_autonomos_y_otros_1999,Personas_fisicas_2017,Personas_fisicas_2016,Personas_fisicas_2015,Personas_fisicas_2014,Personas_fisicas_2013,Personas_fisicas_2012,Personas_fisicas_2011,Personas_fisicas_2010,Personas_fisicas_2009,Personas_fisicas_2008,Personas_fisicas_2007,Personas_fisicas_2006,Personas_fisicas_2005,Personas_fisicas_2004,Personas_fisicas_2003,Personas_fisicas_2002,Personas_fisicas_2001,Personas_fisicas_2000,Personas_fisicas_1999,cod,Shape__Area,Shape__Length
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"11
","11
","Cádiz
","60169
","58658
","57813
","56944
","57313
","59027
","60184
","61056
","62817
","64505
","63338
","61691
","58986
","57138
","54462
","52320
","50075
","45886
","46205
","806
","840
","880
","927
","950
","1033
","1051
","1023
","1071
","1085
","1138
","1192
","1173
","1247
","1264
","1302
","1313
","1284
","1331
","17668
","17432
","17291
","17641
","17498
","17816
","17959
","18188
","18799
","19136
","18162
","16992
","15113
","14084
","12842
","11842
","10815
","9587
","8832
","3
","5
","5
","3
","3
","2
","1
","1
","2
","2
","3
","5
","4
","7
","4
","4
","4
","4
","5
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1395
","1449
","1472
","1414
","1374
","1497
","1526
","1530
","1624
","1682
","1717
","1716
","1543
","1477
","1376
","1303
","1209
","1074
","1008
","395
","389
","380
","384
","393
","419
","444
","464
","501
","536
","578
","614
","607
","607
","582
","556
","546
","508
","513
","2242
","2596
","2642
","2599
","2363
","2413
","2311
","2150
","2079
","1966
","1745
","1599
","1332
","1329
","1186
","1085
","991
","911
","778
","212
","212
","214
","218
","223
","222
","224
","210
","216
","218
","217
","206
","202
","205
","200
","95
","91
","86
","84
","37448
","35735
","34929
","33758
","34509
","35625
","36668
","37490
","38525
","39880
","39778
","39367
","39012
","38182
","37008
","36133
","35106
","32432
","33654
","11
","11546868058.7637
","895286.367485857
"
2,"12
","12
","Castellón/Castelló
","39586
","39228
","38668
","38084
","38732
","39748
","40373
","40797
","42122
","43855
","42476
","39749
","37865
","37214
","34213
","32766
","31825
","31721
","30636
","751
","778
","808
","859
","903
","942
","981
","1008
","1062
","1072
","1095
","1095
","1111
","1119
","1119
","1122
","1131
","1135
","1138
","14740
","14687
","14658
","14741
","14694
","14879
","15259
","15419
","15958
","16498
","15556
","14196
","12850
","12014
","10936
","10262
","9695
","9129
","8402
","0
","0
","1
","1
","1
","0
","0
","1
","1
","3
","2
","3
","3
","2
","1
","4
","5
","5
","7
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1918
","1985
","2116
","2090
","2038
","2124
","2181
","2202
","2343
","2447
","2410
","2336
","2207
","2091
","1810
","1763
","1729
","1688
","1621
","352
","354
","351
","352
","349
","355
","364
","353
","354
","369
","371
","375
","368
","379
","397
","366
","360
","370
","375
","1386
","1500
","1524
","1492
","1406
","1376
","1366
","1300
","1131
","1073
","963
","903
","832
","820
","714
","561
","471
","447
","354
","101
","94
","93
","89
","87
","91
","86
","94
","86
","91
","92
","91
","88
","87
","87
","62
","63
","64
","61
","20338
","19830
","19117
","18460
","19254
","19981
","20136
","20420
","21187
","22302
","21987
","20750
","20406
","20702
","19149
","18626
","18371
","18883
","18678
","12
","11396498994.3888
","689218.079978057
"
3,"13
","13
","Ciudad Real
","30404
","30315
","30113
","29344
","29686
","30600
","31129
","31627
","32046
","33011
","31881
","30446
","29521
","29011
","26778
","25587
","25435
","24577
","25114
","430
","456
","483
","491
","509
","547
","546
","549
","563
","583
","590
","616
","612
","616
","607
","618
","624
","598
","626
","9854
","9926
","10040
","10111
","10013
","10296
","10337
","10282
","10442
","10449
","9674
","9051
","8217
","7651
","7079
","6533
","6162
","5566
","5275
","1
","1
","1
","1
","2
","1
","2
","1
","1
","1
","1
","2
","2
","2
","2
","2
","2
","3
","2
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1176
","1360
","1442
","1463
","1445
","1570
","1635
","1686
","1753
","1870
","1814
","1782
","1714
","1582
","1440
","1362
","1390
","1360
","1397
","238
","237
","244
","248
","248
","262
","262
","268
","266
","274
","283
","294
","300
","300
","307
","313
","309
","308
","320
","1011
","1012
","983
","879
","807
","768
","733
","701
","617
","574
","518
","457
","404
","345
","299
","232
","204
","190
","163
","113
","111
","109
","98
","95
","89
","92
","92
","89
","84
","81
","76
","77
","76
","75
","58
","57
","55
","49
","17581
","17212
","16811
","16053
","16567
","17067
","17522
","18048
","18315
","19176
","18920
","18168
","18195
","18439
","16969
","16469
","16687
","16497
","17282
","13
","32784774691.1465
","1226477.61440341
"
4,"14
","14
","Córdoba
","47101
","46290
","45985
","45261
","45306
","46601
","47465
","48249
","48979
","50057
","49302
","47155
","45405
","43394
","41964
","40481
","39376
","40356
","32852
","637
","682
","721
","761
","801
","883
","887
","908
","941
","972
","1019
","1028
","1035
","1024
","1030
","1041
","1024
","1050
","1043
","14390
","14235
","14223
","14353
","14232
","14489
","14480
","14579
","14754
","15054
","14343
","13417
","12260
","11247
","10473
","9877
","9298
","8856
","7404
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","1959
","2075
","2132
","2024
","1978
","2184
","2217
","2237
","2320
","2442
","2347
","2184
","1972
","1866
","1739
","1688
","1616
","1633
","1299
","481
","479
","501
","506
","521
","565
","584
","619
","628
","655
","645
","654
","660
","623
","637
","597
","585
","539
","482
","1658
","1881
","1970
","1892
","1808
","1876
","1834
","1867
","1768
","1762
","1619
","1422
","1255
","1105
","980
","839
","763
","716
","470
","172
","171
","174
","174
","169
","163
","174
","175
","164
","167
","166
","162
","160
","154
","144
","82
","82
","75
","70
","27803
","26766
","26263
","25550
","25796
","26440
","27288
","27863
","28403
","29004
","29162
","28287
","28062
","27374
","26960
","26355
","26006
","27484
","22081
","14
","22210490613.4485
","1035879.20411489
"
5,"15
","15
","Coruña, A
","82403
","82156
","81432
","79854
","80215
","80408
","81321
","82729
","83748
","84220
","82873
","79170
","77023
","74809
","71748
","66276
","70021
","69381
","63167
","1214
","1297
","1356
","1395
","1460
","1547
","1576
","1572
","1644
","1682
","1704
","1718
","1736
","1739
","1765
","1757
","1817
","1825
","1767
","26044
","26362
","26358
","26166
","25875
","25509
","25294
","25692
","25694
","25461
","23952
","22185
","20596
","19160
","17787
","16195
","15861
","14735
","13067
","6
","6
","7
","7
","7
","7
","7
","7
","8
","8
","9
","8
","8
","8
","8
","7
","10
","12
","13
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","1
","1
","0
","0
","1635
","1409
","1327
","1256
","1172
","1136
","1060
","1030
","989
","965
","961
","954
","926
","866
","822
","813
","841
","845
","830
","366
","369
","374
","382
","370
","374
","366
","381
","380
","382
","380
","381
","391
","404
","420
","403
","421
","418
","398
","5132
","6769
","7200
","6952
","6739
","6874
","6799
","6636
","6605
","6484
","6158
","5680
","5279
","4865
","4430
","3771
","3849
","3628
","2993
","186
","185
","186
","185
","182
","182
","177
","160
","169
","158
","159
","154
","152
","153
","149
","85
","106
","98
","81
","47819
","45758
","44624
","43511
","44410
","44779
","46042
","47251
","48259
","49080
","49550
","48090
","47935
","47613
","46366
","43244
","47115
","47820
","44018
","15
","14932452746.9961
","1672703.78439944
"
6,"16
","16
","Cuenca
","13625
","13623
","13562
","13352
","13496
","13702
","14001
","14236
","14747
","14928
","14741
","13822
","13336
","12829
","12546
","12217
","12043
","12019
","11687
","211
","226
","235
","244
","259
","268
","268
","284
","289
","301
","301
","297
","290
","278
","280
","275
","276
","280
","287
","4327
","4364
","4394
","4391
","4380
","4310
","4319
","4358
","4598
","4286
","4041
","3690
","3364
","3113
","2921
","2733
","2576
","2395
","2181
","0
","0
","0
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","708
","742
","719
","683
","684
","734
","770
","796
","788
","775
","762
","749
","706
","653
","604
","593
","607
","595
","592
","224
","228
","227
","232
","240
","243
","249
","266
","265
","265
","265
","266
","256
","256
","274
","266
","251
","244
","247
","408
","420
","396
","378
","359
","394
","384
","389
","355
","333
","300
","276
","247
","233
","214
","170
","149
","146
","136
","36
","35
","35
","36
","33
","35
","36
","37
","33
","35
","34
","35
","33
","31
","29
","24
","24
","24
","20
","7711
","7608
","7556
","7387
","7540
","7717
","7974
","8105
","8418
","8932
","9037
","8508
","8439
","8264
","8223
","8155
","8159
","8334
","8223
","16
","29155970159.0682
","1004195.48622818
"
7,"17
","17
","Girona
","62036
","60529
","59019
","57658
","57215
","57971
","58052
","58240
","58404
","51467
","50108
","47169
","46827
","45145
","52482
","50226
","48435
","47973
","46556
","1671
","1722
","1785
","1854
","1918
","2005
","1991
","2017
","2118
","2121
","2181
","2214
","2295
","2330
","2410
","2461
","2515
","2598
","2626
","21865
","21399
","20964
","21067
","21022
","20955
","20785
","20840
","22163
","21283
","20077
","18174
","16412
","14607
","14778
","13630
","12518
","11660
","10588
","2
","3
","3
","3
","3
","1
","1
","3
","3
","2
","4
","5
","7
","7
","7
","8
","7
","8
","8
","2
","2
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","2
","1
","1
","1
","2
","2322
","2085
","2005
","1901
","1846
","1850
","1790
","1709
","1655
","1418
","1234
","1108
","968
","807
","800
","811
","797
","795
","806
","169
","163
","174
","177
","181
","182
","184
","186
","201
","193
","206
","222
","245
","266
","342
","351
","352
","373
","376
","4842
","5991
","6436
","5978
","5487
","5396
","5281
","5228
","5430
","5096
","4910
","4448
","4010
","3628
","3619
","3245
","3065
","2873
","2674
","104
","104
","98
","100
","102
","99
","98
","103
","100
","96
","97
","108
","115
","108
","114
","86
","91
","112
","113
","31059
","29060
","27553
","26577
","26655
","27482
","27921
","28153
","26733
","21257
","21398
","20889
","22774
","23390
","30410
","29633
","29089
","29553
","29363
","17
","10752045126.223
","1070140.38049906
"
8,"18
","18
","Granada
","58436
","56884
","55740
","54404
","55210
","56243
","57636
","58319
","60016
","62269
","61055
","57223
","54341
","50508
","49662
","48121
","45615
","45111
","43383
","700
","725
","759
","792
","826
","869
","877
","876
","904
","937
","959
","987
","1020
","1012
","1040
","1036
","1047
","1045
","1085
","17540
","17241
","17235
","17350
","17120
","17339
","17510
","17604
","18044
","18676
","17654
","15882
","14194
","12478
","11565
","10548
","9578
","8778
","7836
","1
","1
","1
","1
","1
","1
","1
","1
","1
","1
","2
","3
","2
","5
","4
","4
","4
","5
","6
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","2359
","2519
","2658
","2509
","2442
","2561
","2577
","2647
","2844
","2975
","2911
","2788
","2577
","2331
","2280
","2163
","2007
","1972
","1884
","491
","494
","511
","509
","515
","550
","556
","563
","583
","633
","638
","635
","617
","561
","554
","523
","520
","500
","479
","1677
","1574
","1551
","1488
","1379
","1401
","1417
","1401
","1236
","1184
","1089
","950
","828
","738
","642
","540
","481
","456
","349
","186
","186
","188
","189
","187
","184
","191
","190
","190
","186
","186
","182
","178
","175
","176
","93
","92
","91
","84
","35482
","34144
","32837
","31566
","32740
","33338
","34507
","35037
","36214
","37677
","37616
","35796
","34925
","33208
","33401
","33214
","31886
","32264
","31660
","18
","20029967206.933
","901313.088636386
"
9,"19
","19
","Guadalajara
","13274
","13359
","13174
","12845
","13074
","13213
","13256
","13494
","13507
","13735
","12874
","11825
","10438
","10120
","9422
","9030
","8717
","8793
","8518
","259
","281
","301
","308
","315
","326
","328
","340
","335
","343
","337
","339
","330
","323
","318
","329
","329
","319
","323
","3841
","4087
","4103
","4088
","4048
","3980
","3885
","3930
","3857
","3878
","3525
","3124
","2613
","2343
","2111
","1946
","1866
","1779
","1638
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","1
","1
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","0
","734
","839
","855
","834
","815
","872
","884
","896
","892
","903
","869
","831
","730
","702
","656
","654
","639
","676
","653
","40
","42
","40
","42
","43
","46
","47
","53
","51
","50
","51
","56
","53
","52
","52
","56
","68
","71
","68
","454
","443
","422
","413
","390
","405
","410
","410
","360
","327
","296
","270
","225
","204
","183
","148
","141
","132
","96
","44
","45
","46
","44
","45
","47
","44
","46
","39
","40
","37
","34
","33
","34
","32
","25
","25
","25
","24
","7902
","7622
","7407
","7116
","7418
","7537
","7658
","7819
","7973
","8194
","7759
","7171
","6454
","6462
","6070
","5872
","5649
","5790
","5715
","19
","21341530340.3421
","1082690.53386729
"
