,OBJECTID,Codigo,Texto,Numero_hipotecas_2018M02,Numero_hipotecas_2018M01,Numero_hipotecas_2017M12,Numero_hipotecas_2017M11,Numero_hipotecas_2017M10,Numero_hipotecas_2017M09,Numero_hipotecas_2017M08,Numero_hipotecas_2017M07,Numero_hipotecas_2017M06,Numero_hipotecas_2017M05,Numero_hipotecas_2017M04,Numero_hipotecas_2017M03,Numero_hipotecas_2017M02,Numero_hipotecas_2017M01,Numero_hipotecas_2016M12,Numero_hipotecas_2016M11,Numero_hipotecas_2016M10,Numero_hipotecas_2016M09,Numero_hipotecas_2016M08,Numero_hipotecas_2016M07,Numero_hipotecas_2016M06,Numero_hipotecas_2016M05,Numero_hipotecas_2016M04,Numero_hipotecas_2016M03,Numero_hipotecas_2016M02,Numero_hipotecas_2016M01,Numero_hipotecas_2015M12,Numero_hipotecas_2015M11,Numero_hipotecas_2015M10,Numero_hipotecas_2015M09,Numero_hipotecas_2015M08,Numero_hipotecas_2015M07,Numero_hipotecas_2015M06,Numero_hipotecas_2015M05,Numero_hipotecas_2015M04,Numero_hipotecas_2015M03,Numero_hipotecas_2015M02,Numero_hipotecas_2015M01,Numero_hipotecas_2014M12,Numero_hipotecas_2014M11,Numero_hipotecas_2014M10,Numero_hipotecas_2014M09,Numero_hipotecas_2014M08,Numero_hipotecas_2014M07,Numero_hipotecas_2014M06,Numero_hipotecas_2014M05,Numero_hipotecas_2014M04,Numero_hipotecas_2014M03,Numero_hipotecas_2014M02,Numero_hipotecas_2014M01,Numero_hipotecas_2013M12,Numero_hipotecas_2013M11,Numero_hipotecas_2013M10,Numero_hipotecas_2013M09,Numero_hipotecas_2013M08,Numero_hipotecas_2013M07,Numero_hipotecas_2013M06,Numero_hipotecas_2013M05,Numero_hipotecas_2013M04,Numero_hipotecas_2013M03,Numero_hipotecas_2013M02,Numero_hipotecas_2013M01,Numero_hipotecas_2012M12,Numero_hipotecas_2012M11,Numero_hipotecas_2012M10,Numero_hipotecas_2012M09,Numero_hipotecas_2012M08,Numero_hipotecas_2012M07,Numero_hipotecas_2012M06,Numero_hipotecas_2012M05,Numero_hipotecas_2012M04,Numero_hipotecas_2012M03,Numero_hipotecas_2012M02,Numero_hipotecas_2012M01,Numero_hipotecas_2011M12,Numero_hipotecas_2011M11,Numero_hipotecas_2011M10,Numero_hipotecas_2011M09,Numero_hipotecas_2011M08,Numero_hipotecas_2011M07,Numero_hipotecas_2011M06,Numero_hipotecas_2011M05,Numero_hipotecas_2011M04,Numero_hipotecas_2011M03,Numero_hipotecas_2011M02,Numero_hipotecas_2011M01,Numero_hipotecas_2010M12,Numero_hipotecas_2010M11,Numero_hipotecas_2010M10,Numero_hipotecas_2010M09,Numero_hipotecas_2010M08,Numero_hipotecas_2010M07,Numero_hipotecas_2010M06,Numero_hipotecas_2010M05,Numero_hipotecas_2010M04,Numero_hipotecas_2010M03,Numero_hipotecas_2010M02,Numero_hipotecas_2010M01,Numero_hipotecas_2009M12,Numero_hipotecas_2009M11,Numero_hipotecas_2009M10,Numero_hipotecas_2009M09,Numero_hipotecas_2009M08,Numero_hipotecas_2009M07,Numero_hipotecas_2009M06,Numero_hipotecas_2009M05,Numero_hipotecas_2009M04,Numero_hipotecas_2009M03,Numero_hipotecas_2009M02,Numero_hipotecas_2009M01,Numero_hipotecas_2008M12,Numero_hipotecas_2008M11,Numero_hipotecas_2008M10,Numero_hipotecas_2008M09,Numero_hipotecas_2008M08,Numero_hipotecas_2008M07,Numero_hipotecas_2008M06,Numero_hipotecas_2008M05,Numero_hipotecas_2008M04,Numero_hipotecas_2008M03,Numero_hipotecas_2008M02,Numero_hipotecas_2008M01,Numero_hipotecas_2007M12,Numero_hipotecas_2007M11,Numero_hipotecas_2007M10,Numero_hipotecas_2007M09,Numero_hipotecas_2007M08,Numero_hipotecas_2007M07,Numero_hipotecas_2007M06,Numero_hipotecas_2007M05,Numero_hipotecas_2007M04,Numero_hipotecas_2007M03,Numero_hipotecas_2007M02,Numero_hipotecas_2007M01,Numero_hipotecas_2006M12,Numero_hipotecas_2006M11,Numero_hipotecas_2006M10,Numero_hipotecas_2006M09,Numero_hipotecas_2006M08,Numero_hipotecas_2006M07,Numero_hipotecas_2006M06,Numero_hipotecas_2006M05,Numero_hipotecas_2006M04,Numero_hipotecas_2006M03,Numero_hipotecas_2006M02,Numero_hipotecas_2006M01,Numero_hipotecas_2005M12,Numero_hipotecas_2005M11,Numero_hipotecas_2005M10,Numero_hipotecas_2005M09,Numero_hipotecas_2005M08,Numero_hipotecas_2005M07,Numero_hipotecas_2005M06,Numero_hipotecas_2005M05,Numero_hipotecas_2005M04,Numero_hipotecas_2005M03,Numero_hipotecas_2005M02,Numero_hipotecas_2005M01,Numero_hipotecas_2004M12,Numero_hipotecas_2004M11,Numero_hipotecas_2004M10,Numero_hipotecas_2004M09,Numero_hipotecas_2004M08,Numero_hipotecas_2004M07,Numero_hipotecas_2004M06,Numero_hipotecas_2004M05,Numero_hipotecas_2004M04,Numero_hipotecas_2004M03,Numero_hipotecas_2004M02,Numero_hipotecas_2004M01,Numero_hipotecas_2003M12,Numero_hipotecas_2003M11,Numero_hipotecas_2003M10,Numero_hipotecas_2003M09,Numero_hipotecas_2003M08,Numero_hipotecas_2003M07,Numero_hipotecas_2003M06,Numero_hipotecas_2003M05,Numero_hipotecas_2003M04,Numero_hipotecas_2003M03,Numero_hipotecas_2003M02,Numero_hipotecas_2003M01,Importe_hipotecas_2018M02,Importe_hipotecas_2018M01,Importe_hipotecas_2017M12,Importe_hipotecas_2017M11,Importe_hipotecas_2017M10,Importe_hipotecas_2017M09,Importe_hipotecas_2017M08,Importe_hipotecas_2017M07,Importe_hipotecas_2017M06,Importe_hipotecas_2017M05,Importe_hipotecas_2017M04,Importe_hipotecas_2017M03,Importe_hipotecas_2017M02,Importe_hipotecas_2017M01,Importe_hipotecas_2016M12,Importe_hipotecas_2016M11,Importe_hipotecas_2016M10,Importe_hipotecas_2016M09,Importe_hipotecas_2016M08,Importe_hipotecas_2016M07,Importe_hipotecas_2016M06,Importe_hipotecas_2016M05,Importe_hipotecas_2016M04,Importe_hipotecas_2016M03,Importe_hipotecas_2016M02,Importe_hipotecas_2016M01,Importe_hipotecas_2015M12,Importe_hipotecas_2015M11,Importe_hipotecas_2015M10,Importe_hipotecas_2015M09,Importe_hipotecas_2015M08,Importe_hipotecas_2015M07,Importe_hipotecas_2015M06,Importe_hipotecas_2015M05,Importe_hipotecas_2015M04,Importe_hipotecas_2015M03,Importe_hipotecas_2015M02,Importe_hipotecas_2015M01,Importe_hipotecas_2014M12,Importe_hipotecas_2014M11,Importe_hipotecas_2014M10,Importe_hipotecas_2014M09,Importe_hipotecas_2014M08,Importe_hipotecas_2014M07,Importe_hipotecas_2014M06,Importe_hipotecas_2014M05,Importe_hipotecas_2014M04,Importe_hipotecas_2014M03,Importe_hipotecas_2014M02,Importe_hipotecas_2014M01,Importe_hipotecas_2013M12,Importe_hipotecas_2013M11,Importe_hipotecas_2013M10,Importe_hipotecas_2013M09,Importe_hipotecas_2013M08,Importe_hipotecas_2013M07,Importe_hipotecas_2013M06,Importe_hipotecas_2013M05,Importe_hipotecas_2013M04,Importe_hipotecas_2013M03,Importe_hipotecas_2013M02,Importe_hipotecas_2013M01,Importe_hipotecas_2012M12,Importe_hipotecas_2012M11,Importe_hipotecas_2012M10,Importe_hipotecas_2012M09,Importe_hipotecas_2012M08,Importe_hipotecas_2012M07,Importe_hipotecas_2012M06,Importe_hipotecas_2012M05,Importe_hipotecas_2012M04,Importe_hipotecas_2012M03,cod,Shape__Area,Shape__Length
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"31
","31
","Navarra
","480
","542
","341
","361
","408
","431
","567
","445
","515
","525
","358
","539
","440
","597
","344
","413
","406
","471
","431
","459
","567
","893
","464
","434
","481
","460
","404
","347
","430
","548
","385
","461
","476
","440
","430
","563
","409
","438
","349
","341
","586
","568
","278
","373
","518
","376
","482
","372
","582
","640
","515
","370
","522
","461
","258
","384
","317
","547
","348
","432
","608
","491
","313
","322
","370
","396
","472
","457
","554
","668
","476
","711
","741
","774
","467
","697
","510
","711
","550
","516
","678
","611
","445
","810
","825
","786
","464
","691
","638
","759
","872
","771
","940
","881
","790
","1028
","1052
","1021
","869
","977
","832
","992
","969
","970
","1255
","1133
","766
","956
","927
","774
","939
","833
","1038
","1151
","1023
","986
","979
","1198
","1456
","872
","1078
","1350
","987
","1898
","1401
","1379
","1285
","1279
","1398
","1959
","1192
","1712
","1709
","1934
","1308
","1647
","1790
","1612
","1225
","1284
","1671
","1841
","1307
","1854
","1639
","1878
","1421
","1770
","1573
","1694
","1500
","1156
","1534
","1674
","1527
","1395
","1489
","1860
","1127
","1279
","1587
","1370
","1112
","1550
","1896
","1580
","1351
","1763
","1820
","1516
","1019
","1076
","1432
","1181
","1066
","1052
","1243
","1265
","1101
","1100
","1134
","1307
","55602
","73314
","52231
","50080
","45262
","63798
","67225
","47629
","56866
","96979
","35615
","83532
","82681
","74009
","48028
","59113
","101029
","52940
","72775
","77353
","66046
","83432
","87593
","73136
","48129
","54452
","53157
","46851
","82596
","67955
","46089
","57989
","67702
","59136
","51521
","59416
","63152
","71193
","42347
","36252
","113541
","62962
","31137
","43502
","63092
","39747
","56307
","53119
","129004
","77185
","42965
","51359
","60751
","41526
","24857
","40559
","37388
","56059
","42934
","68296
","68794
","60533
","43243
","49526
","48353
","52033
","71739
","53371
","74665
","145875
","73548
","106518
","31
","19290430805.6213
","1124671.5864665
"
2,"32
","32
","Ourense
","139
","154
","117
","90
","116
","127
","163
","99
","137
","141
","80
","105
","116
","126
","122
","105
","116
","96
","106
","111
","129
","163
","115
","114
","105
","88
","126
","98
","86
","106
","263
","163
","166
","138
","93
","149
","87
","115
","98
","107
","111
","71
","140
","75
","68
","87
","102
","146
","79
","92
","60
","119
","92
","69
","103
","74
","53
","184
","112
","74
","177
","187
","114
","160
","136
","88
","135
","152
","159
","143
","106
","166
","146
","183
","129
","122
","172
","135
","132
","149
","235
","226
","218
","300
","325
","324
","390
","359
","217
","532
","565
","405
","626
","545
","320
","410
","215
","481
","336
","351
","248
","428
","216
","373
","433
","288
","223
","392
","478
","293
","431
","437
","478
","390
","377
","300
","362
","474
","495
","530
","403
","654
","329
","515
","478
","404
","491
","555
","685
","503
","329
","682
","464
","444
","554
","435
","670
","552
","364
","459
","573
","454
","444
","536
","438
","546
","438
","640
","422
","459
","513
","363
","766
","480
","503
","526
","366
","512
","429
","550
","406
","487
","448
","487
","553
","598
","527
","448
","480
","413
","414
","301
","436
","404
","275
","493
","342
","378
","293
","376
","283
","410
","9543
","11186
","8874
","9852
","9379
","10765
","12802
","9899
","12279
","14093
","8100
","6959
","7523
","9313
","9143
","7151
","14001
","10727
","11427
","7830
","9917
","12269
","8194
","11105
","8079
","8551
","12405
","11827
","6957
","9384
","21027
","15815
","22030
","10060
","6991
","12844
","10687
","17563
","7008
","7617
","22124
","8166
","10400
","4984
","4426
","6709
","17467
","9959
","8934
","6295
","4877
","9511
","6867
","12234
","5119
","8076
","3353
","15076
","7197
","5981
","14586
","12866
","7887
","7968
","14346
","8803
","10818
","9893
","9337
","14915
","7928
","12298
","32
","13264171450.1428
","808496.169678241
"
3,"33
","33
","Asturias
","844
","778
","521
","698
","646
","688
","731
","652
","795
","763
","511
","735
","723
","776
","625
","941
","773
","706
","601
","197
","520
","684
","782
","483
","693
","684
","517
","460
","477
","586
","677
","757
","564
","574
","797
","538
","539
","575
","378
","450
","521
","484
","432
","658
","453
","807
","453
","669
","417
","617
","475
","604
","558
","359
","415
","335
","351
","503
","734
","518
","770
","757
","724
","575
","765
","697
","742
","868
","554
","944
","570
","729
","664
","825
","677
","821
","698
","885
","720
","755
","902
","1012
","994
","1475
","1795
","1455
","2116
","1765
","1128
","2599
","1662
","2000
","2010
","1751
","2167
","2144
","2218
","1308
","1705
","1809
","1287
","2331
","1703
","1884
","1367
","1763
","1810
","1936
","1962
","2194
","1936
","1916
","2249
","1991
","1822
","2153
","1904
","2113
","2474
","2158
","2244
","2286
","1628
","3287
","2846
","2447
","2560
","2321
","2988
","2710
","2587
","2606
","2947
","3320
","1994
","2812
","2344
","2586
","2176
","2681
","2327
","2811
","2601
","2835
","3113
","2669
","2268
","2208
","2173
","2449
","2032
","2368
","2596
","2453
","2924
","2325
","2239
","2553
","1916
","2379
","2289
","2376
","2437
","2914
","2523
","2660
","2167
","2636
","2710
","2817
","2216
","2191
","2615
","2483
","1885
","2670
","1853
","2478
","2295
","3148
","3231
","2802
","74353
","89178
","66822
","72485
","68001
","85276
","60890
","55486
","72540
","63298
","51824
","102667
","205713
","73539
","57693
","98211
","65390
","67176
","49065
","28007
","56931
","80886
","97089
","65075
","80733
","72625
","51293
","49236
","39848
","55889
","75525
","90939
","61409
","47531
","86580
","51669
","58091
","60384
","36632
","54658
","43396
","56317
","37591
","60901
","35255
","157622
","62236
","95570
","122913
","62575
","46164
","56586
","67870
","69072
","35652
","42144
","42177
","51513
","61391
","51321
","84931
","66183
","85069
","50492
","72758
","107893
","60247
","88807
","52511
","108214
","61476
","112716
","33
","20019595252.5254
","1234891.11505138
"
4,"34
","34
","Palencia
","73
","76
","72
","95
","89
","80
","87
","85
","108
","115
","80
","93
","89
","84
","80
","94
","56
","82
","98
","79
","104
","104
","121
","70
","66
","102
","93
","69
","90
","88
","87
","74
","90
","153
","79
","153
","86
","88
","69
","57
","73
","65
","257
","64
","116
","67
","70
","154
","81
","142
","82
","102
","77
","131
","76
","183
","50
","78
","40
","82
","138
","118
","121
","117
","182
","115
","93
","101
","140
","165
","127
","77
","177
","122
","79
","246
","90
","117
","171
","90
","151
","195
","133
","175
","286
","197
","277
","439
","242
","252
","297
","335
","263
","497
","388
","240
","388
","224
","157
","308
","544
","208
","206
","447
","195
","240
","186
","140
","189
","148
","320
","268
","225
","299
","264
","243
","210
","246
","342
","246
","381
","243
","199
","319
","380
","470
","349
","435
","436
","789
","378
","686
","339
","263
","370
","358
","431
","536
","318
","426
","641
","402
","383
","637
","382
","385
","307
","380
","406
","387
","467
","263
","379
","374
","387
","501
","270
","295
","348
","341
","467
","365
","297
","260
","361
","338
","360
","435
","465
","535
","339
","421
","429
","382
","287
","346
","291
","555
","149
","521
","349
","327
","6476
","6601
","4781
","6234
","11027
","7814
","10196
","10997
","8563
","7976
","5948
","9975
","8454
","7365
","5580
","7721
","4262
","7678
","9705
","5480
","7709
","19151
","13637
","4776
","6312
","7501
","7636
","5526
","9562
","6476
","12607
","7169
","15626
","10195
","6122
","9802
","6485
","7078
","3961
","4723
","5823
","6208
","12780
","5306
","11403
","5536
","6746
","8100
","9165
","7259
","7047
","9896
","7627
","16925
","7731
","11586
","5401
","13985
","5009
","7994
","18046
","9709
","12873
","12805
","17696
","8040
","8475
","20692
","16362
","16227
","9883
","14375
","34
","14760770924.6606
","970566.905500649
"
5,"35
","35
","Palmas, Las
","836
","1007
","703
","731
","747
","838
","793
","917
","1238
","946
","589
","815
","685
","785
","663
","969
","2721
","634
","703
","520
","687
","814
","660
","1542
","789
","751
","1267
","996
","769
","842
","990
","1056
","980
","1058
","596
","908
","560
","1192
","588
","834
","615
","537
","538
","1045
","735
","673
","754
","943
","850
","544
","704
","417
","582
","763
","609
","448
","577
","798
","795
","709
","1266
","2576
","740
","750
","693
","624
","775
","1652
","628
","815
","902
","990
","909
","1223
","695
","1218
","895
","913
","1317
","993
","1347
","992
","1192
","1516
","1832
","2107
","3612
","1440
","1444
","2022
","1916
","1762
","2066
","2031
","1895
","2220
","1919
","2510
","1986
","2115
","2078
","2607
","2527
","2931
","2633
","2683
","2290
","2407
","2651
","2288
","6036
","1847
","2631
","2125
","2805
","3964
","3100
","2827
","3614
","2834
","3270
","3496
","2791
","4348
","4201
","3791
","3814
","3324
","4679
","3700
","3367
","4349
","4452
","5818
","3535
","4985
","3793
","5551
","4340
","5273
","5109
","5206
","3719
","5087
","4275
","5477
","5251
","4298
","4685
","5309
","4514
","4102
","4110
","4178
","4756
","3462
","4898
","4835
","3983
","4445
","3703
","4483
","3248
","4344
","4473
","4347
","3635
","4187
","3631
","4620
","3146
","3427
","4133
","3053
","2816
","2786
","2945
","3490
","2562
","3273
","3656
","2873
","112686
","110843
","91569
","86323
","117151
","86769
","147792
","83393
","139397
","206194
","63278
","87289
","69271
","90488
","121239
","85430
","81730
","60101
","83371
","50449
","82332
","77374
","87534
","203010
","85316
","96434
","86435
","175199
","118777
","167775
","101940
","186162
","98048
","77055
","78188
","66429
","78375
","95368
","51304
","149192
","47495
","48751
","61500
","102365
","99298
","48799
","134310
","89784
","53133
","164910
","91385
","53430
","96446
","57590
","61640
","57665
","58808
","79755
","91608
","65400
","126229
","91477
","111969
","92109
","78676
","89876
","76764
","110680
","179643
","83217
","94960
","97665
","35
","5250341373.94092
","1059425.57153025
"
6,"36
","36
","Pontevedra
","514
","619
","415
","448
","477
","528
","541
","448
","506
","558
","388
","544
","606
","551
","457
","654
","476
","486
","403
","328
","521
","489
","434
","438
","531
","431
","440
","420
","441
","447
","506
","476
","479
","405
","403
","469
","433
","408
","301
","574
","430
","383
","556
","402
","390
","380
","394
","324
","293
","497
","422
","648
","967
","373
","334
","453
","251
","412
","353
","363
","568
","564
","533
","596
","515
","704
","952
","684
","580
","811
","507
","628
","821
","713
","921
","1210
","739
","767
","898
","898
","907
","1123
","1306
","1671
","1489
","2224
","1926
","1536
","1239
","1534
","1218
","1671
","1909
","1583
","1707
","1840
","1568
","2005
","1525
","1747
","1771
","1711
","2081
","2103
","1796
","1668
","1662
","2152
","1567
","1809
","1347
","1693
","1809
","1635
","2481
","1719
","2194
","1868
","2222
","1686
","2131
","2648
","1999
","2175
","2464
","2106
","2020
","2143
","2462
","2334
","2082
","2106
","2195
","2281
","1980
","2458
","1846
","2138
","2057
","1868
","2222
","2333
","1781
","2250
","1910
","2679
","2152
","2313
","1912
","2855
","1953
","1830
","2101
","2023
","2000
","1832
","1985
","2163
","2115
","2057
","2039
","1725
","1853
","2148
","2529
","2208
","1914
","2954
","2363
","2449
","2093
","1900
","1937
","1726
","1526
","1588
","1555
","1866
","1640
","1860
","1485
","1429
","51365
","58227
","37519
","45105
","53120
","49106
","60624
","44008
","48825
","55349
","34729
","48176
","53626
","51024
","67779
","54956
","45408
","48257
","36706
","28451
","47338
","55106
","56010
","37456
","50690
","43203
","43889
","50400
","47553
","42315
","87905
","131840
","50185
","42872
","41681
","46434
","40294
","38497
","35217
","51445
","42254
","38312
","45329
","31910
","38377
","34035
","33678
","26420
","32437
","50748
","30617
","66553
","55825
","29548
","29408
","40314
","32907
","42672
","33994
","43203
","54125
","54433
","53873
","55037
","69692
","62320
","106178
","63364
","49562
","84569
","41651
","58000
","36
","8246811088.90771
","1089081.49719412
"
7,"37
","37
","Salamanca
","194
","272
","191
","170
","211
","180
","170
","279
","364
","239
","167
","211
","203
","212
","173
","215
","381
","169
","137
","101
","188
","279
","208
","161
","221
","230
","167
","250
","188
","190
","197
","222
","215
","297
","171
","219
","215
","163
","204
","159
","152
","158
","121
","193
","170
","166
","126
","710
","181
","225
","209
","164
","124
","164
","102
","156
","180
","344
","219
","237
","372
","292
","200
","184
","190
","367
","216
","642
","327
","375
","488
","422
","601
","367
","741
","419
","309
","673
","413
","415
","599
","567
","292
","417
","579
","528
","380
","780
","592
","586
","712
","608
","877
","930
","537
","470
","716
","836
","572
","498
","945
","786
","629
","532
","506
","974
","525
","825
","661
","1108
","757
","538
","1071
","1045
","532
","774
","897
","762
","762
","1265
","997
","1027
","1009
","890
","828
","902
","635
","758
","923
","1135
","692
","799
","754
","1189
","622
","743
","872
","833
","835
","752
","1253
","1344
","1203
","1103
","1091
","903
","750
","651
","640
","665
","798
","529
","673
","614
","621
","568
","541
","680
","586
","486
","478
","535
","616
","503
","716
","673
","698
","844
","832
","842
","716
","544
","643
","614
","413
","797
","599
","778
","642
","810
","796
","828
","16515
","24136
","20596
","20287
","29932
","16759
","18214
","24314
","20807
","23035
","17934
","23633
","26365
","20958
","19180
","19001
","32680
","22706
","15081
","11570
","22735
","31826
","19109
","25666
","20885
","37222
","15234
","20463
","25446
","19630
","17720
","42289
","38337
","17902
","18450
","18443
","20860
","14371
","20653
","14622
","11929
","19986
","8388
","14812
","16570
","15632
","9490
","29195
","16116
","21770
","15336
","13039
","10401
","18290
","11989
","12723
","12651
","20167
","19876
","18056
","41941
","24728
","16587
","20170
","20267
","33012
","15023
","38306
","31740
","33196
","24365
","40952
","37
","21576649161.0889
","949093.601585701
"
8,"38
","38
","Santa Cruz de Tenerife
","578
","731
","1275
","659
","580
","714
","920
","643
","803
","636
","759
","746
","769
","929
","854
","735
","547
","935
","562
","682
","673
","626
","766
","828
","594
","689
","497
","425
","499
","937
","552
","759
","787
","583
","515
","543
","424
","896
","569
","426
","490
","431
","444
","597
","430
","462
","440
","398
","379
","729
","431
","467
","441
","488
","301
","365
","377
","479
","551
","816
","935
","802
","568
","498
","583
","495
","1084
","640
","750
","1172
","548
","620
","559
","1083
","693
","650
","781
","1044
","1340
","652
","848
","987
","968
","1245
","1483
","1503
","1451
","1311
","1891
","1364
","1525
","1475
","1743
","1498
","1615
","2244
","1318
","2260
","1413
","1971
","2041
","2257
","2170
","2849
","2711
","2184
","2424
","2248
","1626
","1575
","2119
","2417
","1991
","2152
","2477
","2546
","2405
","2717
","2879
","2985
","2326
","3221
","2736
","3046
","3296
","3062
","2698
","3467
","3892
","4259
","3479
","3964
","2888
","4211
","3032
","4029
","3434
","3477
","3124
","3814
","4481
","3503
","2920
","4120
","3821
","4016
","3691
","3492
","3796
","3777
","2537
","3210
","3856
","2862
","3078
","3477
","2647
","3649
","3033
","3812
","2824
","2896
","2869
","2863
","3223
","3314
","3347
","3422
","2518
","2801
","2146
","2017
","2644
","1967
","1528
","2243
","2948
","1949
","2164
","2328
","2831
","2652
","86852
","83445
","118326
","62704
","110595
","73920
","72266
","82525
","68815
","90832
","57239
","57233
","60407
","76208
","71043
","84055
","46498
","96684
","53501
","57407
","75158
","70551
","96454
","81098
","81819
","70322
","53575
","74499
","50620
","71722
","82932
","62315
","83212
","95095
","67598
","47828
","44649
","110417
","44723
","55200
","48843
","102753
","43836
","62448
","60109
","37109
","100878
","49000
","70704
","72644
","57335
","54269
","36234
","42108
","45276
","32869
","34563
","39584
","55499
","79534
","58726
","69789
","42529
","46733
","53809
","37261
","70085
","53801
","64134
","77859
","49428
","77887
","38
","4370210415.83691
","964270.952057753
"
9,"39
","39
","Cantabria
","553
","492
","309
","439
","423
","405
","374
","338
","368
","399
","380
","460
","702
","473
","371
","387
","370
","461
","443
","342
","339
","408
","333
","309
","399
","335
","406
","318
","327
","344
","379
","422
","361
","412
","247
","450
","370
","374
","292
","272
","288
","238
","351
","321
","219
","285
","224
","214
","243
","287
","287
","260
","245
","251
","229
","215
","183
","257
","329
","255
","569
","680
","415
","309
","297
","348
","326
","484
","742
","580
","604
","506
","411
","645
","482
","1095
","325
","682
","479
","605
","888
","667
","606
","870
","1171
","1082
","1247
","912
","1043
","1226
","1046
","1089
","1440
","1633
","1007
","1516
","1325
","1249
","1120
","1444
","1044
","1353
","1399
","2048
","1811
","1764
","1228
","1480
","2097
","1353
","1592
","1304
","1605
","1609
","1413
","2359
","1693
","1377
","1972
","1730
","1775
","1744
","1364
","1546
","1869
","2040
","1726
","1550
","2067
","2154
","2071
","2982
","2092
","2157
","1791
","2144
","1939
","1712
","1435
","1858
","2122
","1932
","1970
","2587
","2800
","2624
","2085
","2037
","1455
","1748
","1599
","1858
","2080
","1831
","1588
","1595
","1576
","1829
","1878
","1554
","1683
","1330
","1437
","1378
","1655
","1797
","1688
","1926
","1709
","1821
","1411
","1825
","1824
","2231
","1347
","1864
","1634
","1783
","2004
","1852
","2010
","2206
","55902
","70915
","26624
","44042
","45116
","46655
","40962
","33180
","34714
","39922
","46218
","49519
","53361
","50156
","38702
","34844
","32980
","50540
","47645
","39403
","37365
","47759
","36196
","40322
","55987
","32221
","37839
","37015
","31909
","44175
","44085
","42528
","43695
","89508
","32835
","47742
","30729
","36042
","27742
","25577
","53768
","21136
","47027
","32690
","20148
","27643
","19815
","23526
","21936
","33697
","26553
","26750
","38100
","23318
","91853
","38757
","19891
","35694
","36433
","29753
","59735
","76595
","34032
","34143
","34729
","43218
","60634
","50900
","59406
","50248
","39344
","58279
","39
","10025234336.8828
","1030723.27314431
"
